System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Plastic_NEW"
Test type,,"Compression"
Sample file name,,"N02DPMMA"
Last test date,,"Monday, September 9, 2024"
Last test time,,"6:04:21 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Other Information,,""
Crosshead Speed,(mm/min),"5.00"
Geometry,,"Circular"
Diameter,(mm),"19.16"
Length,(mm),"65.17"
Final Diameter,,"0.00"
Final Length,,"0.00"
Final Specimen State,,"BARRELED, BUCKLED, CRACKED INTO MANY PIECES"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.30"
Maximum Strain,(%),"48.02"
,,
,,
,,
,,
Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(kN),(mm/mm)
"84.50","7.04","33.23","0.1081"
"85.00","7.08","33.22","0.1087"
"85.50","7.13","33.20","0.1093"
"86.00","7.17","33.19","0.1100"
"86.50","7.21","33.18","0.1106"
"87.00","7.25","33.16","0.1113"
"87.50","7.29","33.15","0.1119"
"88.00","7.33","33.14","0.1125"
"88.50","7.38","33.12","0.1132"
"89.00","7.42","33.11","0.1138"
"89.50","7.46","33.09","0.1144"
"90.00","7.50","33.07","0.1151"
"90.50","7.54","33.05","0.1157"
"91.00","7.58","33.04","0.1164"
"91.50","7.63","33.02","0.1170"
"92.00","7.67","33.00","0.1176"
"92.50","7.71","32.98","0.1183"
"93.00","7.75","32.97","0.1189"
"93.50","7.79","32.95","0.1196"
"94.00","7.83","32.93","0.1202"
"94.50","7.88","32.91","0.1208"
"95.00","7.92","32.89","0.1215"
"95.50","7.96","32.87","0.1221"
"96.00","8.00","32.85","0.1228"
"96.50","8.04","32.82","0.1234"
"97.00","8.08","32.80","0.1240"
"97.50","8.13","32.77","0.1247"
"98.00","8.17","32.75","0.1253"
"98.50","8.21","32.72","0.1260"
"99.00","8.25","32.69","0.1266"
"99.50","8.29","32.66","0.1272"
"100.00","8.33","32.63","0.1279"
"100.50","8.38","32.60","0.1285"
"101.00","8.42","32.57","0.1292"
"101.50","8.46","32.53","0.1298"
"102.00","8.50","32.50","0.1304"
"102.50","8.54","32.47","0.1311"
"103.00","8.58","32.44","0.1317"
"103.50","8.63","32.40","0.1323"
"104.00","8.67","32.37","0.1330"
"104.50","8.71","32.34","0.1336"
"105.00","8.75","32.31","0.1343"
"105.50","8.79","32.27","0.1349"
"106.00","8.83","32.23","0.1355"
"106.50","8.88","32.20","0.1362"
"107.00","8.92","32.16","0.1368"
"107.50","8.96","32.13","0.1375"
"108.00","9.00","32.09","0.1381"
"108.50","9.04","32.05","0.1387"
"109.00","9.08","32.01","0.1394"
"109.50","9.13","31.94","0.1400"
"110.00","9.17","31.91","0.1407"
"110.50","9.21","31.86","0.1413"
"111.00","9.25","31.83","0.1419"
"111.50","9.29","31.79","0.1426"
"112.00","9.33","31.75","0.1432"
"112.50","9.38","31.71","0.1439"
"113.00","9.42","31.68","0.1445"
"113.50","9.46","31.63","0.1451"
"114.00","9.50","31.59","0.1458"
"114.50","9.54","31.55","0.1464"
"115.00","9.58","31.51","0.1471"
"115.50","9.63","31.47","0.1477"
"116.00","9.67","31.43","0.1483"
"116.50","9.71","31.39","0.1490"
"117.00","9.75","31.36","0.1496"
"117.50","9.79","31.31","0.1502"
"118.00","9.83","31.28","0.1509"
"118.50","9.88","31.24","0.1515"
"119.00","9.92","31.20","0.1522"
"119.50","9.96","31.16","0.1528"
"120.00","10.00","31.12","0.1534"
"120.50","10.04","31.09","0.1541"
"121.00","10.08","31.05","0.1547"
"121.50","10.13","31.01","0.1554"
"122.00","10.17","30.97","0.1560"
"122.50","10.21","30.93","0.1566"
"123.00","10.25","30.89","0.1573"
