*
POSN mm 	LOAD kn	CTOD mm
-8.304301	2.860099	0.068127
-8.298570	2.976656	0.070752
-8.293360	3.092171	0.073710
-8.288150	3.197280	0.076439
-8.282940	3.322162	0.079522
-8.277730	3.440280	0.082397
-8.271478	3.546950	0.085043
-8.268352	3.669751	0.087876
-8.263142	3.794112	0.091043
-8.257931	3.910148	0.094209
-8.252721	4.030347	0.097126
-8.248553	4.157311	0.099897
-8.242301	4.279591	0.103042
-8.237091	4.393025	0.106042
-8.232402	4.513745	0.108917
-8.227713	4.639147	0.111896
-8.221461	4.755183	0.114750
-8.217293	4.887350	0.117750
-8.211041	5.006508	0.121084
-8.204789	5.107454	0.123458
-8.202184	5.229735	0.126083
-8.196453	5.360340	0.129417
-8.192285	5.481580	0.132542
-8.187075	5.599697	0.135541
-8.182907	5.724059	0.138479
-8.176655	5.855185	0.141625
-8.171445	5.975384	0.144541
-8.166756	6.103908	0.147499
-8.162067	6.224628	0.150874
-8.157898	6.354713	0.154041
-8.152167	6.485839	0.156791
-8.146436	6.607079	0.159666
-8.141226	6.733522	0.163124
-8.137579	6.852160	0.165895
-8.132890	6.985367	0.168957
-8.127159	7.114412	0.172436
-8.121428	7.233570	0.174915
-8.117260	7.362615	0.178207
-8.113092	7.485415	0.181790
-8.108403	7.618623	0.184082
-8.102672	7.739342	0.187228
-8.096420	7.877232	0.191040
-8.092252	8.006277	0.193623
-8.088084	8.115549	0.196415
-8.082874	8.265407	0.200456
-8.077143	8.405379	0.203206
-8.071412	8.500602	0.205581
-8.067765	8.637972	0.209623
-8.063076	8.777423	0.212373
-8.058387	8.906468	0.215373
-8.052655	9.027708	0.218914
-8.047445	9.167159	0.222060
-8.042756	9.293602	0.225164
-8.038067	9.410159	0.228372
-8.032857	9.557936	0.231580
-8.027647	9.687501	0.234372
-8.021395	9.816025	0.238080
-8.018269	9.950273	0.241080
-8.013059	10.075800	0.243872
-8.007849	10.213171	0.247538
-8.002639	10.347419	0.250955
-7.997950	10.483748	0.253726
-7.993261	10.606549	0.257371
-7.988051	10.726227	0.259975
-7.982841	10.879208	0.263371
-7.977110	11.002008	0.266642
-7.973463	11.133134	0.270163
-7.968253	11.262179	0.273058
-7.963043	11.395387	0.276288
-7.957832	11.524431	0.279871
-7.952622	11.653476	0.282662
-7.947933	11.791887	0.286391
-7.943765	11.926135	0.289933
-7.938034	11.995861	0.291204
-7.932824	12.185265	0.295787
-7.927614	12.320554	0.299308
-7.922925	12.450639	0.302703
-7.917715	12.594254	0.305870
-7.913026	12.731624	0.309370
-7.907295	12.870035	0.313037
-7.902085	12.998039	0.315870
-7.897396	13.136449	0.319203
-7.892186	13.269657	0.322745
-7.887497	13.397661	0.325078
-7.881766	13.547519	0.329161
-7.877077	13.680727	0.332828
-7.871346	13.809771	0.335640
-7.867178	13.967955	0.339140
-7.861968	14.089715	0.342536
-7.856758	14.230207	0.345452
-7.852069	14.359252	0.348869
-7.846337	14.497663	0.352494
-7.842169	14.643359	0.355535
-7.837480	14.763037	0.358285
-7.832791	14.904570	0.362285
-7.827581	15.039859	0.365452
-7.821329	15.173066	0.368285
-7.817161	15.330209	0.372222
-7.812472	15.454051	0.375576
-7.806741	15.590380	0.378576
-7.802573	15.721506	0.381951
-7.797363	15.864080	0.385368
-7.792153	16.003531	0.388472
-7.787985	16.103437	0.391389
-7.781733	16.270987	0.395430
-7.778086	16.407317	0.398951
-7.771313	16.544687	0.401943
-7.767145	16.682057	0.405443
-7.762456	16.807980	0.408609
-7.757767	16.952635	0.412234
-7.752036	17.094167	0.416151
-7.747346	17.228416	0.418984
-7.742136	17.363704	0.422192
-7.737968	17.466732	0.424984
-7.732758	17.635323	0.429442
-7.727548	17.774774	0.432484
-7.722859	17.899656	0.435942
-7.717128	18.044311	0.439775
-7.712439	18.173356	0.442775
-7.707229	18.318011	0.446192
-7.702540	18.449137	0.449775
-7.697330	18.584426	0.453025
-7.692120	18.720755	0.456483
-7.687952	18.821701	0.459608
-7.682742	18.985089	0.463358
-7.677532	19.126622	0.466941
-7.671280	19.197388	0.469108
-7.667112	19.377426	0.473691
-7.662944	19.500227	0.476816
-7.657734	19.637597	0.480607
-7.652003	19.777048	0.484107
-7.647313	19.913378	0.487191
-7.642103	20.033057	0.490982
-7.637935	20.144045	0.494315
-7.632725	20.295985	0.497940
-7.627515	20.427111	0.501607
-7.621263	20.554075	0.505357
-7.617616	20.683119	0.508773
-7.612927	20.808001	0.512398
-7.607196	20.945371	0.516106
-7.601986	21.074416	0.519606
-7.596255	21.203461	0.523523
-7.592608	21.324180	0.527273
-7.587919	21.424086	0.530231
-7.582709	21.582269	0.534523
-7.577499	21.707151	0.538523
-7.572810	21.763348	0.543189
-7.567600	21.844522	0.547772
-7.562390	21.963160	0.551814
-7.558222	22.079716	0.555939
-7.553012	22.198354	0.559439
-7.547280	22.319073	0.563522
-7.542591	22.379433	0.568605
-7.537902	22.450199	0.570772
-7.532692	22.631278	0.575772
-7.527482	22.729102	0.580105
-7.522793	22.822764	0.584188
-7.518104	22.864391	0.590021
-7.512894	22.947646	0.594104
-7.507163	23.080853	0.598354
-7.502474	23.093341	0.604187
-7.497264	23.197410	0.608604
-7.493096	23.307722	0.612604
-7.487886	23.205735	0.619479
-7.482676	23.359756	0.624103
-7.477466	23.380570	0.629853
-7.471214	23.488801	0.633937
-7.468088	23.291071	0.644270
-7.462878	23.426360	0.647936
-7.457147	23.547079	0.652144
-7.452458	23.590788	0.657811
-7.448290	23.676124	0.662602
-7.443600	23.343105	0.674185
-7.437869	23.455499	0.678269
-7.432659	23.597032	0.682519
-7.427449	23.674043	0.687768
-7.423281	23.767704	0.691935
-7.417029	23.559567	0.703435
-7.412340	23.638659	0.707101
-7.404525	23.721914	0.710601
-7.403483	23.815576	0.714643
-7.398273	23.821820	0.722101
-7.392542	23.896749	0.726934
-7.387853	23.801006	0.734100
-7.382122	23.796843	0.741559
-7.377954	23.900911	0.745850
-7.373265	24.004980	0.750433
-7.367013	24.104885	0.754600
-7.362324	24.148594	0.760016
-7.358156	23.880098	0.771766
-7.352425	23.994573	0.775849
-7.347736	24.121536	0.779974
-7.343046	24.188140	0.784974
-7.337836	24.260988	0.788766
-7.332626	24.063258	0.800265
-7.327416	24.165245	0.805112
-7.321164	24.260988	0.809278
-7.318038	24.342161	0.814445
-7.311786	24.392114	0.819611
-7.307097	24.479531	0.824528
-7.302929	24.304697	0.834111
-7.297719	24.288046	0.840777
-7.293030	24.315103	0.846527
-7.287820	24.379626	0.850777
-7.282610	24.458718	0.856860
-7.276358	24.219361	0.869943
-7.273753	23.742728	0.881443
-7.266980	23.815576	0.887526
-7.262812	23.888423	0.892526
-7.257602	23.921725	0.899109
-7.252392	23.959190	0.904192
-7.247703	24.025793	0.909442
-7.241971	23.942539	0.917609
-7.237803	24.004980	0.921775
-7.232593	24.094479	0.927442
-7.227904	24.167326	0.932442
-7.223215	24.054933	0.940441
-7.218005	24.138187	0.945941
-7.212274	24.159001	0.952108
-7.208106	24.138187	0.958774
-7.202896	24.213116	0.963607
-7.197165	23.855121	0.976607
-7.191955	23.905074	0.982107
-7.187787	23.948783	0.986690
-7.182577	24.038282	0.992773
-7.177367	24.077828	0.998773
-7.171115	24.071584	1.004940
-7.167989	24.063258	1.011273
-7.162779	24.054933	1.017856
-7.157569	24.046607	1.024606
-7.152359	24.021631	1.031272
-7.147670	23.898830	1.040439
-7.141938	23.957108	1.045522
-7.137770	23.973759	1.048438
-7.133602	24.048689	1.055605
-7.127871	24.067421	1.061855
-7.121098	23.955027	1.070271
-7.116930	23.996654	1.076021
-7.113804	23.563730	1.090437
-7.108594	23.655310	1.095354
-7.103384	23.709426	1.100520
-7.097132	23.699019	1.107770
-7.091922	23.646985	1.115103
-7.087754	23.640741	1.120186
-7.082023	23.438848	1.131269
-7.077334	23.480476	1.137186
-7.071082	23.538754	1.142436
-7.067956	23.438848	1.150852
-7.062746	23.430523	1.157102
-7.057536	23.472150	1.163102
-7.052326	23.492964	1.169185
-7.048158	23.099586	1.182601
-7.042947	23.166189	1.188268
-7.037737	23.218223	1.192434
-7.033048	23.176596	1.200517
-7.027317	23.168271	1.207184
-7.022628	23.072528	1.215100
-7.018460	22.398165	1.233100
-7.012729	22.460606	1.238933
-7.008040	22.541779	1.244600
-7.003351	22.600058	1.249099
-6.998141	22.633359	1.255766
-6.992931	22.597976	1.262599
-6.988763	22.581325	1.268099
-6.983032	22.600058	1.275515
-6.977822	22.506396	1.284098
-6.973133	22.398165	1.292098
-6.967402	22.217086	1.302098
-6.962713	21.757104	1.316431
-6.958024	21.811220	1.321931
-6.953335	21.859091	1.327097
-6.947604	21.900719	1.333764
-6.942914	21.906963	1.340097
-6.937704	21.590595	1.350930
-6.932494	21.632222	1.357763
-6.927284	21.663443	1.364096
-6.923116	21.193054	1.379096
-6.918427	21.240925	1.384429
-6.912696	21.286715	1.390262
-6.907486	21.324180	1.396262
-6.902797	21.340831	1.402095
-6.898108	20.824652	1.418178
-6.892898	20.880849	1.423761
-6.887688	20.912070	1.428428
-6.882999	20.949534	1.435428
-6.878831	20.966185	1.441761
-6.875184	20.943290	1.446427
-6.866848	20.281416	1.468927
-6.862680	20.250195	1.473093
-6.857470	20.304311	1.478760
-6.853823	20.343857	1.484176
-6.848613	20.391728	1.490593
-6.842881	20.400053	1.497009
-6.837671	20.348019	1.503259
-6.832982	20.273090	1.511592
-6.828814	20.241870	1.519092
-6.824646	19.492578	1.537925
-6.818394	19.517554	1.545425
-6.812663	19.542531	1.551591
-6.806411	19.063816	1.569091
-6.804327	18.899388	1.576007
-6.798075	18.943097	1.582757
-6.793386	18.963911	1.588757
-6.787655	18.920202	1.595090
-6.783487	18.895226	1.602307
-6.779319	18.118876	1.622807
-6.774109	18.170910	1.628640
-6.768378	18.216700	1.634806
-6.762647	18.235433	1.640806
-6.760563	17.486141	1.658806
-6.754311	17.519443	1.665639
-6.748059	17.563151	1.672972
-6.743891	17.552744	1.679472
-6.737638	17.427862	1.686805
-6.733470	16.870056	1.705804
-6.728781	16.882544	1.711637
-6.723571	16.911684	1.717804
-6.716277	16.686896	1.730470
-6.713672	16.549526	1.737470
-6.708462	16.557851	1.743470
-6.704294	16.545363	1.749636
-6.694916	15.771095	1.776302
-6.693874	15.694084	1.780302
-6.689185	15.721142	1.786135
-6.683454	15.758607	1.792135
-6.678244	15.779420	1.798135
-6.673034	15.771095	1.805135
-6.668345	15.762769	1.812135
-6.664698	14.980176	1.832301
-6.658446	15.013478	1.839467
-6.654278	15.030129	1.844134
-6.646984	15.063430	1.851467
-6.642816	15.063430	1.858300
-6.637606	15.005152	1.865467
-6.633958	14.503543	1.881633
-6.628227	14.505624	1.888466
-6.623538	14.530601	1.894799
-6.618328	14.530601	1.900799
-6.613639	14.501461	1.908132
-6.608429	14.455671	1.915465
-6.604261	14.376580	1.919132
-6.596967	13.573172	1.946131
-6.594883	13.573172	1.949631
-6.587589	13.627288	1.955631
-6.583421	13.673078	1.962130
-6.577690	13.664752	1.968797
-6.573522	13.635613	1.976297
-6.567270	12.969576	1.997130
-6.564665	12.975820	2.001463
-6.558413	13.019529	2.007463

